avlength,coff.timestamp,entropy,exports_counts,has_debug,has_relocations,has_resources,has_signature,imports_counts,label,MZ,numstrings,paths,printables,registry,size,urls,vsize
5.166119632929198,708992537,3.678320870955787,0,0,0,1,0,10,1,6,14929,0,77125,0,594906,0,1007616
5.313611235619304,1524080239,6.449735641479492,0,0,0,1,0,54,1,2,6693,1,35564,0,638980,0,638976
5.390068303489016,1248261235,6.567275906445456,0,0,0,1,0,171,0,74,21668,2,116792,4,2590616,1,65536
5.446444644464447,1001112578,5.141879081726074,0,0,0,1,0,8,1,6,5555,0,30255,0,403346,0,765952
5.446724262059036,1001112578,5.14253044128418,0,0,0,1,0,8,1,6,5556,0,30262,0,403441,0,765952
5.514578660685678,1166951662,4.405156135559082,0,1,1,1,1,23,1,2,3121,0,17211,0,202176,11,204800
5.514578660685678,1171177505,4.405156135559082,0,1,1,1,1,23,1,2,3121,0,17211,0,202176,11,204800
5.514578660685678,1196621361,4.405156135559082,0,1,1,1,1,23,1,2,3121,0,17211,0,202176,11,204800
5.514578660685678,1206976065,4.405156135559082,0,1,1,1,1,23,1,2,3121,0,17211,0,202176,11,204800
5.514578660685678,1247489622,4.405156135559082,0,1,1,1,1,23,1,2,3121,0,17211,0,202176,11,204800
5.514578660685678,1250262172,4.405156135559082,0,1,1,1,1,23,1,2,3121,0,17211,0,202176,11,204800
5.514578660685678,1251310471,4.405156135559082,0,1,1,1,1,23,1,2,3121,0,17211,0,202176,11,204800
5.514578660685678,1252787709,4.405156135559082,0,1,1,1,1,23,1,2,3121,0,17211,0,202176,11,204800
5.514578660685678,1255564676,4.405156135559082,0,1,1,1,1,23,1,2,3121,0,17211,0,202176,11,204800
5.514578660685678,1256308479,4.405156135559082,0,1,1,1,1,23,1,2,3121,0,17211,0,202176,11,204800
5.514578660685678,1268804580,4.405156135559082,0,1,1,1,1,23,1,2,3121,0,17211,0,202176,11,204800
5.514578660685678,1291857888,4.405156135559082,0,1,1,1,1,23,1,2,3121,0,17211,0,202176,11,204800
5.514578660685678,1339909212,4.405156135559082,0,1,1,1,1,23,1,2,3121,0,17211,0,202176,11,204800
5.514578660685678,1359691581,4.405156135559082,0,1,1,1,1,23,1,2,3121,0,17211,0,202176,11,204800
5.514578660685678,1387577981,4.405156135559082,0,1,1,1,1,23,1,2,3121,0,17211,0,202176,11,204800
5.514578660685678,1406682794,4.405156135559082,0,1,1,1,1,23,1,2,3121,0,17211,0,202176,11,204800
5.526094437010132,1405356316,6.58206844329834,1,0,0,0,0,4,0,38,10462,2,57814,0,3469824,0,5320704
5.532338308457711,1013346937,6.538595676422119,0,0,0,0,0,2,1,4,402,0,2224,0,103140,0,81920
5.558472553699284,1013346937,6.554635524749756,0,0,0,0,0,2,1,3,419,0,2329,0,103140,0,86016
5.571976967370442,207466415,6.551915168762207,0,0,0,0,0,2,1,3,521,0,2903,0,127715,0,102400
5.573446961202063,1346857550,6.517820835113525,0,1,0,1,0,20,1,11,4459,0,24852,0,880640,0,892928
5.573671226732451,1346857550,6.517771720886231,0,1,0,1,0,20,1,11,4459,0,24853,0,880640,0,892928
5.573671226732451,1346857550,6.517825603485107,0,1,0,1,0,20,1,11,4459,0,24853,0,880640,0,892928
5.578947368421052,1013346937,6.533618450164795,0,0,0,0,0,2,1,4,456,0,2544,0,103140,0,86016
5.579896907216496,1013346937,6.539728164672852,0,0,0,0,0,2,1,4,388,0,2165,0,103140,0,81920
5.580381471389647,1013346937,6.553586959838867,0,0,0,0,0,2,1,1,367,0,2048,0,103140,0,81920
5.584782608695652,1013346937,6.539223670959473,0,0,0,0,0,2,1,1,460,0,2569,0,99044,0,77824
5.598654708520179,1013346937,6.490184783935547,0,0,0,0,0,2,1,2,446,0,2497,0,103140,0,8192
5.598816827344435,1346857550,6.579825401306152,0,1,0,1,0,20,1,17,4564,0,25553,0,976384,0,987136
5.602870813397129,1013346937,6.524684906005859,0,0,0,0,0,2,1,2,418,0,2342,0,103140,0,77824
5.609113046735975,1271168400,6.582573885649508,0,0,0,1,0,17,0,91,21354,0,119777,0,5000720,0,3387392
5.609780559717724,1121954989,6.584874661443301,0,0,0,1,1,8,0,508,165512,6,928486,0,35729576,13,249856
5.611830367354408,1524758049,6.584879038641345,0,0,0,1,1,2,0,553,174872,6,981352,0,37665040,17,274432
5.612314794132976,1230931096,6.584500405677667,0,0,0,1,0,5,0,78,26862,0,150758,0,5776279,0,172032
5.612637362637362,1013346937,6.556049346923828,0,0,0,0,0,2,1,4,364,0,2043,0,74752,0,81920
5.615831335932935,1004039231,6.584239798442948,2,0,0,1,0,70,0,286,83859,4,470938,0,18429221,0,28672
5.617217367558711,1260053446,6.584883097217315,0,0,0,1,0,155,0,796,234368,7,1316496,0,50488341,1,225280
5.61732508329367,1346857550,6.552853584289551,0,1,0,1,0,23,1,13,4202,1,23604,0,891392,0,897024
5.617416131334761,1346857550,6.552877902984619,0,1,0,1,0,23,1,13,4203,1,23610,0,891392,0,897024
5.622283296568185,1371228617,6.584850742563948,0,0,0,1,1,6,0,468,138265,4,777365,0,29836648,16,167936
5.622553380782918,1346857550,6.579712867736816,0,1,0,1,0,20,1,16,4496,0,25279,0,976384,0,987136
5.622775800711744,1346857550,6.579716205596924,0,1,0,1,0,20,1,16,4496,0,25280,0,976384,0,987136
5.623556581986144,1288916700,6.542723178863525,0,0,0,0,0,3,1,3,433,0,2435,0,99328,0,73728
5.6239278645260615,1346857550,6.576554298400879,0,1,0,1,0,20,1,18,4547,0,25572,0,976896,0,987136
5.624147789751484,1346857550,6.576555252075195,0,1,0,1,0,20,1,18,4547,0,25573,0,976896,0,987136
5.6242670275146605,1346857550,6.580349922180176,0,1,0,1,0,20,1,13,4434,0,24938,0,976384,0,987136
5.624864542696142,1371228617,6.584824284707931,0,0,0,1,1,6,0,408,110736,3,622875,0,23783600,12,167936
5.624880611270296,1346857550,6.581921577453613,0,1,0,1,0,20,1,24,4188,0,23557,0,879616,0,892928
5.625029854310963,1346857550,6.581899642944336,0,1,0,1,0,20,1,23,4187,0,23552,0,879616,0,892928
5.625268688798663,1346857550,6.581902503967285,0,1,0,1,0,20,1,23,4187,0,23553,0,879616,0,892928
5.6253269398430685,1346857550,6.580819129943848,0,1,1,1,0,22,1,26,4588,0,25809,0,980992,0,991232
5.625369577293171,1381652372,6.584795864564862,0,0,0,1,1,120,0,554,167421,5,941805,0,36570832,21,462848
5.625441374690935,1185150927,6.584756690217258,0,0,0,1,0,154,0,427,120929,2,680279,0,26214400,0,241664
5.62544964028777,1346857550,6.580297470092773,0,1,0,1,0,20,1,13,4448,0,25022,0,976896,0,987136
5.6255075232863625,1346857550,6.581899642944336,0,1,0,1,0,20,1,23,4187,0,23554,0,879616,0,892928
5.625674460431656,1346857550,6.580300331115723,0,1,0,1,0,20,1,13,4448,0,25023,0,976896,0,987136
5.625697508713493,1181339313,6.5845916834083695,0,0,0,1,0,154,0,404,116486,1,655315,0,25426699,0,192512
5.626470134577565,1371228617,6.584832098083366,0,0,0,1,1,6,0,365,103732,2,583645,0,22229608,12,167936
5.628249100398742,1359555716,6.584637106410208,0,0,0,1,0,120,0,488,154235,2,868073,0,32785990,1,159744
5.628428927680798,1013346937,6.543533802032471,0,0,0,0,0,2,1,2,401,0,2257,0,103140,0,77824
5.628523247410262,1346857550,6.550319671630859,0,1,0,1,0,23,1,17,4151,1,23364,0,891392,0,897024
5.629538323621694,1346857550,6.580634117126465,0,1,0,1,0,20,1,14,4462,0,25119,0,976384,0,987136
5.630385487528344,1013346937,6.55178689956665,0,0,0,0,0,2,1,1,441,0,2483,0,103140,0,86016
5.630658211239886,1346857550,6.580540657043457,0,1,0,1,0,20,1,13,4573,0,25749,0,976384,0,987136
5.630690650677327,1346857550,6.579706192016602,0,1,0,1,0,20,1,14,4503,0,25355,0,976896,0,987136
5.63103448275862,1346857550,6.58007287979126,0,0,0,1,0,20,1,20,4060,0,22862,0,880640,0,892928
5.631578947368421,1346857550,6.5796966552734375,0,1,0,1,0,20,1,14,4503,0,25359,0,976896,0,987136
5.631652661064426,1346857550,6.544404983520508,0,1,0,1,0,20,1,15,4284,0,24126,0,879616,0,892928
5.631773399014778,1346857550,6.580071449279785,0,0,0,1,0,20,1,20,4060,0,22865,0,880640,0,892928
5.631886087768441,1346857550,6.544416427612305,0,1,0,1,0,20,1,15,4284,0,24127,0,879616,0,892928
5.631929046563193,1013346937,6.537908554077148,0,0,0,0,0,2,1,1,451,0,2540,0,103140,0,86016
5.632293744201167,1170357576,6.584812349563904,0,0,0,1,0,136,0,494,136881,0,770954,0,29710705,0,237568
5.633934535738143,1346857550,6.580998420715332,0,1,0,1,0,20,1,14,4491,0,25302,0,976896,0,987136
5.634024003464994,708992537,6.584562447951533,0,0,0,1,0,8,0,235,71573,0,403244,0,15385276,1,81920
5.63415720329548,1346857550,6.5810089111328125,0,1,0,1,0,20,1,14,4491,0,25303,0,976896,0,987136
5.634510646721149,708992537,6.584790971287736,0,0,0,1,0,8,0,625,176815,8,996266,0,38101783,2,86016
5.634814355768713,1245149978,6.5846898421207865,0,0,0,1,0,168,0,222,74228,3,418261,0,16014198,0,315392
5.634920634920635,708992537,6.584685900449777,0,0,0,1,1,8,0,369,103509,4,583265,0,22314488,8,81920
5.635078969243557,708992537,6.579340934753418,0,0,0,1,0,11,1,7,2406,0,13558,0,676352,0,1662976
5.635365112874797,708992537,6.584725415079905,0,0,1,1,0,8,0,295,100421,2,565909,0,22128111,0,81920
5.635587188612099,1155680870,6.584793205821876,0,0,0,1,1,6,0,267,88515,1,498834,0,18992760,11,167936
5.636086700489219,708992537,6.584694989102369,0,0,0,1,0,8,0,288,88304,3,497689,0,19012004,1,77824
5.636160714285714,1013346937,6.550600051879883,0,0,0,0,0,2,1,1,448,0,2525,0,103140,0,81920
5.636743215031315,1013346937,6.55288028717041,0,0,0,0,0,2,1,3,479,0,2700,0,103140,0,77824
5.636834202623676,708992537,6.584639500411077,0,0,0,1,0,8,0,220,75924,2,427971,0,16290788,1,81920
5.638146604559941,1346857550,6.57955265045166,0,0,0,1,0,25,1,13,4079,0,22998,0,896000,0,901120
5.638235294117648,1346857550,6.579530715942383,0,0,0,1,0,25,1,13,4080,0,23004,0,896000,0,901120
5.639900867410161,1346857550,6.580584526062012,0,0,0,1,0,20,1,13,4035,0,22757,0,891904,0,901120
5.639961907029344,1260053446,6.584555839997969,0,0,0,1,0,155,0,213,67204,5,379028,0,14441561,1,262144
5.640488656195463,1346857550,6.57870626449585,0,0,0,1,0,25,1,18,4011,0,22624,0,896000,0,905216
5.640703821784576,708992537,6.58462092679015,0,0,0,1,0,8,0,226,74337,1,419313,0,15973120,1,81920
5.64079822616408,1013346937,6.503969669342041,0,0,0,0,0,2,1,5,451,0,2544,0,103140,0,8192
5.641393442622951,1288916700,6.5509538650512695,0,0,0,0,0,3,1,3,488,0,2753,0,99328,0,73728
5.641463414634146,1013346937,6.558226108551025,0,0,0,0,0,2,1,2,410,0,2313,0,103140,0,81920
5.641939393939394,1346857550,6.579580783843994,0,1,0,1,0,20,1,20,4125,0,23273,0,879616,0,892928
5.642026175472613,1346857550,6.579560279846191,0,1,0,1,0,20,1,20,4126,0,23279,0,879616,0,892928
5.642181818181818,1346857550,6.579582214355469,0,1,0,1,0,20,1,20,4125,0,23274,0,879616,0,892928
5.642268540959767,1346857550,6.579577445983887,0,1,0,1,0,20,1,20,4126,0,23280,0,879616,0,892928
5.642413078517154,1346857550,6.580145835876465,0,1,1,1,0,22,1,9,4343,1,24505,0,977920,0,991232
5.642424242424243,1346857550,6.579581260681152,0,1,0,1,0,20,1,20,4125,0,23275,0,879616,0,892928
